ID_TURMA;CO_ENTIDADE;CO_PESSOA_FISICA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu;defasagem_idade_serie;flag_defasado;n_reprovacoes_prev;abandono_previo;anos_observados;reprovou_ano_ant;tem_historico;mudou_municipio;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_CATEGORIA_ESCOLA_PRIVADA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_COMPUTADOR;IN_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;IN_INTERNET;IN_BANDA_LARGA;IN_INTERNET_ALUNOS;IN_ACESSO_INTERNET_COMPUTADOR;IN_ALIMENTACAO;QT_PROF_COORDENADOR;QT_PROF_FONAUDIOLOGO;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_PEDAGOGIA;indice_infra;tamanho_escola;apoio_por_aluno;TX_HR_INICIAL;tamanho_turma;turno
20000001;11000000;1000000426;200000361;2019;10;1;0;1;;00003238;00000002;;;1;0;1;;;;;;0;;;;;0;1;0;0;14;5;1;0;0;1;0;0;4;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;18.7847735711839;manha
20000001;11000000;1000000575;200000475;2019;8;1;3;1;;00003317;00000001;;00001874;1;0;0;;0;0;;0;;0;;;;0;1;1;0;14;5;1;0;0;1;0;0;2;1;1;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;18.7847735711839;manha
20000001;11000000;1000000627;200000513;2019;17;1;0;1;;00000570;00000001;00000020;;2;0;1;;;;;1;;;;;;0;1;0;0;14;5;1;0;0;1;0;0;11;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;18.7847735711839;manha
20000001;11000000;1000000761;200000623;2019;7;1;3;1;;00002175;00000001;00000018;;1;0;0;;;;;;0;;;;;0;1;0;0;14;5;1;0;0;1;0;0;1;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;18.7847735711839;manha
20000001;11000000;1000000794;200000652;2019;18;1;1;1;;00003031;00000001;;;1;0;0;;;;;;;;;0;;0;1;0;0;14;5;1;0;0;1;0;0;12;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;18.7847735711839;manha
20000002;11000000;1000000073;200000063;2019;10;1;3;1;;00003443;00000001;;;1;0;0;;;;;;;;;;0;0;1;0;0;41;5;1;0;0;1;0;0;-4;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;11.2991639683023;tarde
20000002;11000000;1000000562;200000462;2019;15;2;0;1;;00002803;00000002;;00003076;2;0;0;;;;;;;;;0;;0;1;0;0;41;5;1;0;0;1;0;0;1;0;1;0;2;1;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;11.2991639683023;tarde
20000002;11000000;1000000924;200000758;2019;8;1;3;1;;00000774;00000001;00000025;00002911;1;0;0;;;;;;;;;;;0;1;0;0;41;5;1;0;0;1;0;0;-6;0;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;11.2991639683023;tarde
20000003;11000000;1000000019;200000014;2019;18;1;1;1;;00000476;00000001;00000012;00002715;1;0;0;;0;;;;;;;;;0;1;0;0;26;1;1;0;0;1;0;0;2;1;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.7892850445351;manha
20000003;11000000;1000000481;200000401;2019;18;1;0;1;;00005083;00000002;;;1;0;0;0;0;;;;;;;;;0;1;0;0;26;1;1;0;0;1;0;0;2;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.7892850445351;manha
20000003;11000000;1000000542;200000449;2019;9;1;1;1;;00001423;00000002;;;1;0;0;;0;;;;0;;;0;;0;1;;0;26;1;1;0;0;1;0;0;-7;0;0;1;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.7892850445351;manha
20000003;11000000;1000000721;200000593;2019;8;2;3;1;;00002428;00000002;00000012;00003964;2;0;1;0;0;;;;0;;;;;0;1;0;0;26;1;1;0;0;1;0;1;-8;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.7892850445351;manha
20000003;11000000;1000000897;200000737;2019;14;2;1;1;;00000315;00000002;00000003;;1;0;0;;;;;;0;;;;;0;1;0;0;26;1;1;0;0;1;0;0;-2;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.7892850445351;manha
20000005;11000000;1000000416;200000352;2019;13;1;0;1;;00002049;00000002;;00004197;1;0;0;;;;;;;0;;;;0;1;;1;;5;1;0;0;1;0;1;;;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.8150164552499;manha
20000005;11000000;1000000531;200000439;2019;12;2;3;1;;00000012;00000002;;00004606;1;0;0;;;;;;0;;;;;0;1;0;1;;5;1;0;0;1;0;0;;;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.8150164552499;manha
20000005;11000000;1000000533;200000441;2019;8;1;3;1;;00002022;00000002;;00002614;1;0;1;;;;;;;;;;;0;1;0;0;;5;1;0;0;1;0;0;;;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;7;30.8150164552499;manha
20000006;11000000;1000000054;200000045;2019;15;1;0;1;;00001990;00000002;00000021;00001063;1;0;0;;;;;;;;;;;0;1;0;0;;5;1;0;0;1;0;0;;;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000006;11000000;1000000178;200000157;2019;19;2;0;1;;00000081;00000001;;00005237;1;0;0;;;;;;;;;;;0;1;0;0;;5;1;0;0;1;0;0;;;1;0;2;1;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000006;11000000;1000000277;200000243;2019;17;1;3;1;;00000089;00000001;00000005;;1;0;0;;;;;;;;0;;;;1;;0;;5;1;0;0;1;0;0;;;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000006;11000000;1000000539;200000446;2019;12;2;0;1;;00001419;00000001;00000009;00001277;1;0;0;;1;0;0;;;0;;;;0;1;0;0;;5;1;0;0;1;0;0;;;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000006;11000000;1000000816;200000668;2019;22;1;3;1;;00005116;00000002;00000018;00001165;1;0;0;;;1;;;;;0;;;0;1;0;0;;5;1;0;0;1;0;0;;;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000006;11000000;1000001125;200000938;2019;4;1;3;1;;00004293;00000001;00000026;00000080;1;0;0;0;;;;;;;0;;;0;1;0;0;;5;1;0;0;1;0;0;;;0;0;0;;0;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;13;19.2926036021672;tarde
20000007;11000000;1000000321;200000280;2019;17;1;3;1;;00003806;00000001;;;1;0;0;;;1;;;;;;;;0;1;0;0;20;5;1;0;0;1;0;0;5;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
20000007;11000000;1000000335;200000292;2019;10;2;3;1;;00000852;00000001;;00004728;1;0;0;;;;;;0;;;;;0;1;0;0;20;5;1;0;0;1;0;0;-2;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
20000007;11000000;1000000359;200000310;2019;10;2;3;1;;00003462;00000001;00000019;00000989;2;0;0;0;;1;;;0;;;;;0;1;1;0;20;5;1;0;0;1;0;0;-2;0;0;0;2;0;1;1;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
20000007;11000000;1000000392;200000333;2019;8;2;3;1;;00000337;00000002;00000002;00004053;1;0;1;;0;;;;0;;;;;0;1;0;0;20;5;1;0;0;1;0;0;-4;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
20000007;11000000;1000000505;200000420;2019;4;1;3;1;;00005356;00000001;00000026;;1;0;0;;;;;;;;;;;0;1;0;;20;5;1;0;0;1;0;0;-8;0;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
20000007;11000000;1000000923;200000757;2019;14;2;0;1;;00004896;00000001;;;1;0;1;;;;;;;;;;;0;1;;0;20;5;1;0;0;1;0;0;2;1;0;0;2;0;1;;3;1;1;1;1;1;0;1;;0;;1;0;1;;1;1;1;;;1;;0;;0;;0.769230769230769;30;0;12;36.5014212536626;tarde
