ID_TURMA;CO_ENTIDADE;CO_PESSOA_FISICA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu;defasagem_idade_serie;flag_defasado;n_reprovacoes_prev;abandono_previo;anos_observados;reprovou_ano_ant;tem_historico;mudou_municipio;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_CATEGORIA_ESCOLA_PRIVADA;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_COMPUTADOR;IN_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;IN_INTERNET;IN_BANDA_LARGA;IN_INTERNET_ALUNOS;IN_ACESSO_INTERNET_COMPUTADOR;IN_ALIMENTACAO;QT_PROF_COORDENADOR;QT_PROF_FONAUDIOLOGO;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_PEDAGOGIA;indice_infra;tamanho_escola;apoio_por_aluno;TX_HR_INICIAL;tamanho_turma;turno
60000001;11000000;1000000496;600000293;2023;10;2;3;1;;00004162;00000009;00000019;00002155;1;0;0;;;;0;;;;1;0;;0;1;;0;70;4;1;1;0;1;0;0;;;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;11;15.5198577325791;manha
60000002;11000000;1000000507;600000298;2023;20;1;3;1;;00001364;00000002;;;1;0;0;;;;;;0;0;;;;0;1;0;0;19;5;1;0;0;1;0;0;9;1;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000002;11000000;1000000605;600000355;2023;14;1;1;1;;00001383;00000005;;;1;0;1;;;;;;;0;;;;0;1;0;0;19;5;1;0;0;1;0;0;3;1;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000002;11000000;1000000727;600000431;2023;14;2;1;1;;00003883;00000002;00000025;00004459;1;0;0;;;;;;;;;;;0;1;0;0;19;5;1;0;0;1;0;0;3;1;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000002;11000000;1000000828;600000491;2023;16;1;1;1;;00000429;00000004;00000008;00001145;1;0;1;;;1;;;;;;;;0;1;0;0;19;5;1;0;0;1;0;1;5;1;0;1;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000002;11000000;1000001246;600000745;2023;10;2;3;1;;00003445;00000007;00000013;00003341;1;0;0;;;;;;;;;;;0;1;0;0;19;5;1;0;0;1;0;0;-1;0;0;0;3;0;1;1;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000002;11000000;1000001428;600000909;2023;18;2;3;1;;00004886;00000006;00000001;00004572;1;0;1;;;;;;;;0;;0;0;1;0;0;19;5;1;0;0;1;0;0;7;1;0;0;1;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;13;0.237585254944861;tarde
60000003;11000000;1000000336;600000214;2023;13;1;0;1;;00002186;00000002;;;2;0;1;;0;;;;0;0;;;;0;1;0;0;1;2;1;0;0;1;0;0;;;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;7;20.1846742833732;manha
60000003;11000000;1000000372;600000236;2023;10;1;0;1;;00004345;00000004;00000018;00000966;1;0;0;0;;1;0;;;;;;;0;1;;0;1;2;1;0;0;1;0;0;;;0;0;6;0;1;1;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;7;20.1846742833732;manha
60000003;11000000;1000000742;600000441;2023;13;2;3;1;;00001439;00000006;;00003746;1;0;0;;;;;;;;;0;;0;1;0;0;1;2;1;0;0;1;0;0;;;0;0;6;0;1;;3;2;;1;1;;;1;0;0;0;0;;;;;1;1;0;0;1;0;0;;;2;0.5;33;0.0606060606060606;7;20.1846742833732;manha
