NU_ANO;ID_MATRICULA;CO_PESSOA_FISICA;IN_REGULAR;ID_TURMA;CO_ENTIDADE;TP_SITUACAO;IN_CONCLUINTE;IN_TRANSFERIDO
2020;300000001;1000000001;1;30000122;11000017;5;;0
2020;300000002;1000000002;1;30000058;11000008;4;;0
2020;300000003;1000000004;1;30000179;11000025;5;;0
2020;300000004;1000000005;1;30000035;11000004;9;;0
2020;300000005;1000000006;0;30000163;11000023;5;;0
2020;300000006;1000000007;1;30000053;11000007;5;;0
2020;300000007;1000000008;1;30000057;11000008;9;;0
2020;300000008;1000000009;1;30000082;11000011;5;;0
2020;300000009;1000000010;1;30000131;11000018;5;;0
2020;300000010;1000000011;1;30000039;11000005;9;;0
2020;300000011;1000000017;1;30000045;11000006;5;;0
2020;300000012;1000000018;1;30000028;11000003;4;0;0
2020;300000013;1000000019;1;30000097;11000013;5;0;0
2020;300000014;1000000021;1;30000165;11000023;5;;0
2020;300000015;1000000023;1;30000107;11000015;5;;0
2020;300000016;1000000025;0;30000084;11000011;5;;0
2020;300000017;1000000026;1;30000157;11000022;5;1;0
2020;300000018;1000000027;1;30000135;11000019;5;;0
2020;300000019;1000000028;1;30000161;11000022;5;;0
2020;300000020;1000000029;;30000152;11000021;5;;0
2020;300000021;1000000030;1;30000160;11000022;5;;0
2020;300000022;1000000031;1;30000002;11000000;2;;0
2020;300000023;1000000032;1;30000133;11000018;5;;0
2020;300000024;1000000033;1;30000180;11000025;5;;0
2020;300000025;1000000035;1;30000029;11000004;5;;0
2020;300000026;1000000036;1;30000181;11000025;5;;0
2020;300000027;1000000037;1;30000058;11000008;5;;0
2020;300000028;1000000038;1;30000200;11000028;5;;0
2020;300000029;1000000039;1;30000051;11000007;5;;0
2020;300000030;1000000040;1;30000114;11000016;5;;0
2020;300000031;1000000042;0;30000130;11000018;5;1;0
2020;300000032;1000000044;1;30000034;11000004;2;;0
2020;300000033;1000000045;;30000008;11000001;5;;0
2020;300000034;1000000046;0;30000163;11000023;5;;0
2020;300000035;1000000047;1;30000124;11000017;5;;0
2020;300000036;1000000048;1;30000203;11000028;5;;0
2020;300000037;1000000049;0;30000100;11000014;9;;0
2020;300000038;1000000050;1;30000003;11000000;5;;0
2020;300000039;1000000051;1;30000017;11000002;5;;0
2020;300000040;1000000052;1;30000130;11000018;5;;0
2020;300000041;1000000053;1;30000038;11000005;5;;0
2020;300000042;1000000054;1;30000004;11000000;2;;0
2020;300000043;1000000055;1;30000085;11000012;9;;0
2020;300000044;1000000056;1;30000098;11000013;9;1;0
2020;300000045;1000000057;1;30000050;11000007;5;;0
2020;300000046;1000000058;1;30000189;11000026;5;;0
2020;300000047;1000000060;0;30000022;11000003;5;;0
2020;300000048;1000000062;1;30000094;11000013;5;;0
2020;300000049;1000000064;1;30000140;11000019;5;;0
2020;300000050;1000000065;1;30000189;11000026;5;;0
2020;300000051;1000000066;1;30000093;11000013;5;;0
2020;300000052;1000000067;1;30000090;11000012;5;;0
2020;300000053;1000000068;1;30000178;11000025;;;0
2020;300000054;1000000069;;30000125;11000017;9;;0
2020;300000055;1000000070;1;30000166;11000023;5;;0
2020;300000056;1000000071;1;30000115;11000016;9;;0
2020;300000057;1000000072;1;30000163;11000023;5;;0
2020;300000058;1000000073;1;30000086;11000012;9;;0
2020;300000059;1000000074;1;30000092;11000013;9;;0
2020;300000060;1000000075;1;30000097;11000013;5;;0
2020;300000061;1000000077;1;30000015;11000002;9;;0
2020;300000062;1000000078;1;30000172;11000024;5;0;0
2020;300000063;1000000079;1;30000163;11000023;5;1;0
2020;300000064;1000000080;1;30000019;11000002;5;;0
2020;300000065;1000000081;0;30000159;11000022;5;;0
2020;300000066;1000000082;1;30000205;11000029;9;;0
2020;300000067;1000000083;1;30000056;11000007;5;;0
2020;300000068;1000000084;1;30000059;11000008;9;0;0
2020;300000069;1000000085;1;30000102;11000014;5;;0
2020;300000070;1000000086;1;30000159;11000022;9;;0
2020;300000071;1000000087;1;30000176;11000025;5;;0
2020;300000072;1000000088;1;30000076;11000010;5;;0
2020;300000073;1000000089;1;30000142;11000020;5;;0
2020;300000074;1000000090;1;30000168;11000023;4;;0
2020;300000075;1000000091;1;30000069;11000009;9;;0
2020;300000076;1000000092;1;30000023;11000003;9;;0
2020;300000077;1000000093;1;30000051;11000007;5;1;0
2020;300000078;1000000094;1;30000154;11000021;5;;0
2020;300000079;1000000095;1;30000206;11000029;5;;0
2020;300000080;1000000096;1;30000086;11000012;5;;0
2020;300000081;1000000097;;30000144;11000020;5;1;0
2020;300000082;1000000098;1;30000006;11000000;5;;0
2020;300000083;1000000100;1;30000214;11000030;9;;0
2020;300000084;1000000101;0;30000204;11000029;5;;0
2020;300000085;1000000102;1;30000033;11000004;9;;0
2020;300000086;1000000103;1;30000010;11000001;9;0;0
2020;300000087;1000000104;1;30000110;11000015;5;;0
2020;300000088;1000000106;1;30000042;11000005;5;;0
2020;300000089;1000000107;1;30000064;11000009;5;;0
2020;300000090;1000000108;1;30000216;11000030;9;1;0
2020;300000091;1000000109;1;30000182;11000025;9;;0
2020;300000092;1000000110;1;30000130;11000018;5;;0
2020;300000093;1000000111;1;30000175;11000024;5;;0
2020;300000094;1000000112;1;30000064;11000009;9;;0
2020;300000095;1000000113;0;30000114;11000016;5;;0
2020;300000096;1000000115;0;30000203;11000028;5;;0
2020;300000097;1000000116;1;30000122;11000017;9;;0
2020;300000098;1000000118;1;30000078;11000011;4;;0
2020;300000099;1000000119;1;30000190;11000027;9;;0
2020;300000100;1000000120;1;30000069;11000009;5;;0
2020;300000101;1000000122;1;30000022;11000003;5;;0
2020;300000102;1000000124;1;30000179;11000025;5;;0
2020;300000103;1000000125;1;30000111;11000015;5;;0
2020;300000104;1000000126;0;30000013;11000001;5;;0
2020;300000105;1000000128;1;30000086;11000012;5;;0
2020;300000106;1000000130;1;30000176;11000025;2;;0
2020;300000107;1000000131;1;30000032;11000004;5;;0
2020;300000108;1000000132;1;30000059;11000008;;1;0
2020;300000109;1000000133;1;30000011;11000001;5;;0
2020;300000110;1000000134;;30000127;11000018;9;;0
2020;300000111;1000000135;1;30000023;11000003;5;0;0
2020;300000112;1000000137;1;30000028;11000003;5;;0
2020;300000113;1000000138;1;30000063;11000008;5;;0
2020;300000114;1000000139;1;30000013;11000001;5;;0
2020;300000115;1000000140;1;30000043;11000006;2;1;0
2020;300000116;1000000141;1;30000008;11000001;9;1;0
2020;300000117;1000000142;1;30000192;11000027;9;;0
2020;300000118;1000000143;1;30000215;11000030;5;;0
2020;300000119;1000000144;1;30000107;11000015;5;0;0
2020;300000120;1000000145;1;30000137;11000019;5;;0
2020;300000121;1000000146;;30000215;11000030;5;;0
2020;300000122;1000000148;1;30000069;11000009;9;;0
2020;300000123;1000000149;1;30000078;11000011;5;;0
2020;300000124;1000000150;1;30000105;11000014;5;;0
2020;300000125;1000000151;0;30000122;11000017;5;;0
2020;300000126;1000000153;1;30000024;11000003;9;;0
2020;300000127;1000000154;0;30000145;11000020;5;;0
2020;300000128;1000000156;1;30000122;11000017;5;;0
2020;300000129;1000000157;1;30000208;11000029;9;;0
2020;300000130;1000000158;1;30000100;11000014;5;;0
2020;300000131;1000000159;1;30000063;11000008;5;1;0
2020;300000132;1000000160;1;30000002;11000000;5;;0
2020;300000133;1000000162;1;30000144;11000020;5;;0
2020;300000134;1000000163;1;30000095;11000013;;;0
2020;300000135;1000000164;1;30000095;11000013;5;;0
2020;300000136;1000000165;1;30000132;11000018;9;;0
2020;300000137;1000000167;1;30000161;11000022;9;;0
2020;300000138;1000000168;1;30000007;11000000;5;;0
2020;300000139;1000000169;1;30000060;11000008;5;0;0
2020;300000140;1000000170;1;30000068;11000009;5;;0
2020;300000141;1000000171;0;30000117;11000016;9;;0
2020;300000142;1000000172;1;30000193;11000027;5;;0
2020;300000143;1000000173;;30000211;11000030;5;;0
2020;300000144;1000000175;1;30000025;11000003;5;;0
2020;300000145;1000000176;1;30000170;11000024;5;1;0
2020;300000146;1000000177;1;30000061;11000008;5;;0
2020;300000147;1000000178;0;30000019;11000002;5;;0
2020;300000148;1000000179;1;30000197;11000028;5;;0
2020;300000149;1000000180;1;30000088;11000012;5;;0
2020;300000150;1000000181;1;30000133;11000018;5;;0
2020;300000151;1000000183;1;30000075;11000010;5;;0
2020;300000152;1000000184;1;30000068;11000009;5;1;0
2020;300000153;1000000185;1;30000137;11000019;5;;0
2020;300000154;1000000186;1;30000026;11000003;9;;0
2020;300000155;1000000187;1;30000066;11000009;5;;0
2020;300000156;1000000188;1;30000095;11000013;9;;0
2020;300000157;1000000190;1;30000207;11000029;9;;0
2020;300000158;1000000191;;30000135;11000019;5;1;0
2020;300000159;1000000192;1;30000021;11000002;5;;0
2020;300000160;1000000195;1;30000113;11000016;5;;0
2020;300000161;1000000196;;30000071;11000010;5;;0
2020;300000162;1000000197;1;30000048;11000006;5;;0
2020;300000163;1000000198;1;30000210;11000029;5;1;0
2020;300000164;1000000199;1;30000059;11000008;;;0
2020;300000165;1000000200;1;30000014;11000001;5;;1
2020;300000166;1000000201;1;30000187;11000026;9;1;0
2020;300000167;1000000203;1;30000081;11000011;5;;0
2020;300000168;1000000204;1;30000138;11000019;5;;0
2020;300000169;1000000205;1;30000011;11000001;5;;0
2020;300000170;1000000206;1;30000029;11000004;9;;0
2020;300000171;1000000207;1;30000093;11000013;5;;0
2020;300000172;1000000208;1;30000038;11000005;9;;0
2020;300000173;1000000209;1;30000134;11000019;;;0
2020;300000174;1000000210;1;30000203;11000028;2;0;0
2020;300000175;1000000212;1;30000099;11000014;5;1;0
2020;300000176;1000000213;1;30000071;11000010;5;1;0
2020;300000177;1000000214;0;30000067;11000009;5;;0
2020;300000178;1000000215;1;30000029;11000004;5;;0
2020;300000179;1000000216;1;30000021;11000002;2;;0
