NU_ANO;ID_TURMA;TP_MEDIACAO_DIDATICO_PEDAGO;NU_DIAS_ATIVIDADE;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;QT_MATRICULAS;TX_HR_INICIAL;CO_ENTIDADE
2018;10000001;1;5;1;1;0;0;31.0568987865699;10;11000000
2018;10000002;1;5;21;0;0;0;20.8746104084421;7;11000000
2018;10000003;1;5;27;1;0;0;26.5698639445473;13;11000000
2018;10000004;1;5;21;1;0;0;4.86155496211723;7;11000000
2018;10000005;1;5;1;1;0;0;24.9611812616931;12;11000000
2018;10000006;1;5;27;1;0;1;19.5834427620284;13;11000000
2018;10000007;1;5;15;1;0;0;16.4363836126868;12;11000000
2018;10000008;1;5;21;;;0;18.2883652476594;13;11000001
2018;10000009;1;5;20;;0;0;16.0104831100907;7;11000001
2018;10000010;1;5;41;1;0;;9.58393153641373;8;11000001
2018;10000011;1;1;41;1;0;0;30.9978041276336;7;11000001
2018;10000012;1;5;20;1;0;;25.3192038970301;12;11000001
2018;10000013;1;5;71;0;0;;28.9219997313339;7;11000001
2018;10000014;1;5;15;1;0;0;25.5737649267539;7;11000001
2018;10000015;1;5;1;1;0;0;25.7895148798125;13;11000002
2018;10000016;1;5;25;1;0;0;0.924080980475992;13;11000002
2018;10000017;1;5;2;1;0;0;5.01200260128826;7;11000002
2018;10000018;1;5;18;1;0;0;10.6275466005318;19;11000002
2018;10000019;1;2;20;1;0;0;20.7449489345308;8;11000002
2018;10000020;1;5;1;1;0;1;31.6484107288998;18;11000002
2018;10000021;1;5;15;1;0;0;5.75673553394154;7;11000002
2018;10000022;1;5;25;0;;0;15.6268590667751;7;11000003
2018;10000023;1;5;20;1;;0;25.0005031635519;7;11000003
2018;10000024;1;5;2;1;0;0;31.6356902228436;13;11000003
2018;10000025;1;5;1;1;0;0;18.456526721362;19;11000003
2018;10000026;1;5;16;1;0;;7.82589681004174;13;11000003
2018;10000027;1;5;20;1;0;0;29.7178571877303;13;11000003
2018;10000028;1;5;16;1;0;0;32.9332002662122;13;11000003
2018;10000029;1;1;19;1;0;0;25.6877116570249;7;11000004
2018;10000030;1;5;;0;0;;31.6827865698142;6;11000004
2018;10000031;1;6;;1;0;0;24.2969490886899;13;11000004
2018;10000032;1;6;18;1;0;0;18.715274670627;13;11000004
