NU_ANO;ID_TURMA;TP_MEDIACAO_DIDATICO_PEDAGO;NU_DIAS_ATIVIDADE;TP_ETAPA_ENSINO;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;QT_MATRICULAS;TX_HR_INICIAL;CO_ENTIDADE
2022;30000001;1;5;14;1;0;0;29.1403734637424;8;11000000
2022;30000002;1;5;;1;0;0;31.3376244483516;7;11000000
2022;30000003;1;5;;1;0;0;15.4646299849264;7;11000000
2022;30000004;1;5;15;;0;0;2.20683198887855;13;11000000
2022;30000005;1;5;17;1;0;0;21.8323792528827;;11000000
2022;30000006;1;5;;1;0;0;14.2256243072916;12;11000000
2022;30000007;1;5;16;1;0;0;28.6221141193528;13;11000000
2022;30000008;1;5;2;1;0;0;6.30802008090541;13;11000001
2022;30000009;1;5;15;1;0;0;5.34903332591057;7;11000001
2022;30000010;1;5;2;1;0;0;15.9814272227231;19;11000001
2022;30000011;1;5;41;1;1;0;8.43935953336768;7;11000001
2022;30000012;1;5;19;0;0;0;20.5273364903405;7;11000001
2022;30000013;1;5;1;1;0;0;19.9908904370386;7;11000001
2022;30000014;1;5;;1;0;;6.01921119727194;7;11000001
2022;30000015;1;5;14;1;0;;31.6221807792317;13;11000002
2022;30000016;1;5;2;0;0;0;0.736916572786868;13;11000002
2022;30000017;1;6;16;;0;0;23.4243303234689;7;11000002
2022;30000018;1;5;16;1;0;0;31.7260076885577;7;11000002
2022;30000019;1;5;;1;0;0;10.5139160284307;13;11000002
2022;30000020;1;5;1;1;0;0;26.576449892018;;11000002
2022;30000021;1;5;14;1;0;0;10.1729876408353;19;11000002
2022;30000022;1;5;16;1;0;1;23.179234523559;7;11000003
2022;30000023;1;5;21;1;0;0;31.8495346792042;7;11000003
2022;30000024;1;5;41;1;0;0;30.1561770471744;7;11000003
2022;30000025;1;5;14;1;1;0;26.3705311249942;7;11000003
2022;30000026;1;5;;1;0;1;15.914650275372;13;11000003
2022;30000027;1;5;17;1;0;0;26.3756890804507;8;11000003
2022;30000028;1;5;1;1;0;0;24.422864416847;21;11000003
2022;30000029;1;5;;;0;0;29.8413867119234;7;11000004
2022;30000030;1;1;25;1;0;0;19.7525396326091;9;11000004
2022;30000031;1;5;1;1;0;0;1.0715999873355;7;11000004
2022;30000032;1;5;18;1;0;0;15.7741688785609;7;11000004
2022;30000033;1;5;41;1;0;0;45.6351696299389;7;11000004
2022;30000034;1;5;;1;;1;12.9208117071539;13;11000004
2022;30000035;1;5;;;0;0;13.0665467132349;13;11000004
2022;30000036;1;5;16;1;0;0;42.2964713089168;7;11000005
2022;30000037;1;5;1;1;0;0;10.83375069662;13;11000005
2022;30000038;1;5;16;1;0;0;25.4605359141715;7;11000005
2022;30000039;1;5;71;1;0;0;2.28268907871097;7;11000005
2022;30000040;1;5;14;1;0;0;30.5409140826669;13;11000005
