NU_ANO;CO_ENTIDADE;TP_SITUACAO_FUNCIONAMENTO;TP_FALTANTE;CO_UF;CO_MUNICIPIO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_CATEGORIA_ESCOLA_PRIVADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;IN_LOCAL_FUNC_SOCIOEDUCATIVO;IN_LOCAL_FUNC_UNID_PRISIONAL;IN_LOCAL_FUNC_PRISIONAL_SOCIO;IN_LOCAL_FUNC_GALPAO;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_LOCAL_FUNC_OUTROS;IN_PREDIO_COMPARTILHADO;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS;IN_COMPUTADOR;IN_EQUIP_MULTIMIDIA;QT_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;QT_DESKTOP_ALUNO;IN_COMP_PORTATIL_ALUNO;QT_COMP_PORTATIL_ALUNO;IN_TABLET_ALUNO;QT_TABLET_ALUNO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_ACESSO_INTERNET_COMPUTADOR;IN_BANDA_LARGA;QT_PROF_COORDENADOR;QT_PROF_FONAUDIOLOGO;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_PEDAGOGIA;IN_ALIMENTACAO;IN_ORGAO_ASS_PAIS;IN_ORGAO_ASS_PAIS_MESTRES;IN_ORGAO_CONSELHO_ESCOLAR
2022;11000000;4;;00000026;00001596;4;1;0;;;0;0;0;0;0;0;;1;1;0;0;;0;;0;;0;0;0;0;;0;1;;0;0;0;0;0;0;0;1;;;;;0;2;1;;0;;0;0;;0;0;1;;;;;;;;;;1;0;0
2022;11000001;1;;00000023;00001212;2;2;;;1;0;0;0;;0;;;;1;0;;0;0;1;0;0;0;0;0;;;;;0;0;0;;;0;0;9;;1;0;0;;0;16;;1;;;9.92855037446134;0;;;;;;0;0;0;;0;;0;;;1;1
2022;11000002;2;;00000012;00001478;4;2;0;;1;0;0;0;;0;0;0;1;0;0;0;0;0;1;0;;0;0;0;0;1;;1;1;;;;0;;;1;;1;;1;0;1;15;1;1;13;;1.45721552311443;0;;;1.98163792304695;1;;;1;0;;;;;;;0;1
2022;11000003;1;0;00000006;00004562;3;1;;;1;;;;0;0;0;0;;1;0;0;0;0;;;;0;1;;0;0;;1;0;0;0;0;0;;0;0;1;;0;0;;0;;0;1;;;8.46796939149499;1;;0;0;;;0;1;;0;1;0;2;;;0;
2022;11000004;1;0;00000001;00002844;3;1;;;;0;;;0;;;0;;1;0;;;0;;;0;;0;0;0;;;;1;;0;0;1;0;1;;;0;1;;0;1;12;1;1;0;;;0;;;;1;;0;1;1;;0;;;;;;
2022;11000005;1;0;00000001;00002927;3;1;0;;;;;0;0;0;0;0;1;0;;0;0;;;0;0;;0;0;0;;0;;0;;0;0;1;;0;9;1;;1;0;1;1;8;;1;;;;;;;;;0;;1;1;0;0;;1;0;0;;0
2022;11000006;1;0;00000017;00002626;3;2;0;;;;0;0;0;0;0;0;;1;1;0;0;;;0;;;0;;;0;;0;0;0;0;;;0;1;;;;1;;;;14;1;;;1;;1;10.6989332973026;;0.34785975352861;;;;;0;;0;0;1;1;0;0;0
2022;11000007;1;;00000022;00004444;3;1;0;;1;0;0;;;0;;0;;;0;0;0;0;;0;0;;1;;;0;0;0;0;0;0;;;0;0;0;;1;0;0;1;0;;1;;5;;;1;0;1;0;0;;0;;;1;;1;2;1;0;;1
2022;11000008;1;0;00000026;00000350;3;2;;;;0;;;0;;;0;1;1;;;0;0;1;;;0;0;;;0;;1;0;0;0;0;0;;0;;1;0;0;0;;1;5;1;;1;1;0;0;1.82741790602449;;1.39017497003078;;;0;1;0;0;0;;1;1;0;0;0
2022;11000009;1;0;00000004;00000455;3;1;;;1;0;;0;;;0;;1;;;;0;;1;;;0;1;0;0;0;;;1;0;0;0;;0;0;1;1;0;0;0;0;;7;;;;;0;0;0;0;0.183357693022117;;;9;1;1;;0;;;1;;0;1
