NU_ANO;CO_PESSOA_FISICA;ID_MATRICULA;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;ID_TURMA;CO_ENTIDADE
2022;1000000001;500000001;26;2;2;1;;00003694;00000007;00000020;00001059;1;0;0;;;;;;;;0;;;0;;0;0;50000073;11000010
2022;1000000004;500000002;11;1;3;1;;00003321;00000006;00000021;00000491;1;1;0;;;;;1;;;;0;;0;0;0;0;50000085;11000012
2022;1000000005;500000003;12;2;1;1;;00002416;00000004;00000005;00004782;2;0;0;;;;;;;;;;;0;0;0;0;50000098;11000013
2022;1000000006;500000004;9;2;3;1;;00005195;00000001;00000011;00000885;1;0;0;;1;;0;;;;;;;0;1;0;0;50000087;11000012
2022;1000000007;500000005;19;2;3;1;;00001966;00000003;;00003002;1;0;0;;;;;0;;;;;;0;1;0;0;50000142;11000020
2022;1000000008;500000006;11;1;3;1;;00003604;00000008;00000023;00003488;1;0;0;;;;;;;;;;;;1;0;0;50000052;11000007
2022;1000000009;500000007;10;1;0;1;;00004751;00000003;00000021;00004446;1;0;0;;;;;0;;;;;0;0;1;0;;50000186;11000026
2022;1000000010;500000008;13;2;1;1;;00000240;00000004;00000018;00002529;1;0;0;0;;;;;;;;;0;0;1;0;0;50000075;11000010
2022;1000000011;500000009;10;2;3;1;;00001020;00000004;;00002021;1;0;0;0;;;;;;0;0;;;0;1;0;0;50000056;11000007
2022;1000000017;500000010;17;1;0;1;;00001235;00000008;00000019;00001055;1;0;0;;0;1;;0;0;;;;;0;1;0;0;50000157;11000022
2022;1000000019;500000011;21;1;1;1;;00001598;00000004;;00003161;2;0;0;;;;;;0;;;;0;0;1;0;0;50000083;11000011
2022;1000000021;500000012;19;2;1;1;;00003208;00000006;00000003;;2;0;0;;0;;;;;;;;;0;1;0;0;50000010;11000001
2022;1000000023;500000013;28;1;1;1;;00000654;00000007;00000011;;1;0;0;;0;;0;;;;;;;0;0;0;0;50000010;11000001
2022;1000000025;500000014;12;1;3;1;;00002034;00000004;;00004458;1;0;0;0;;;;;;;;;;0;1;0;0;50000138;11000019
2022;1000000026;500000015;20;2;3;1;;00004945;00000005;00000014;00001627;1;0;0;0;;;;;;;;;;0;1;0;0;50000100;11000014
2022;1000000027;500000016;24;2;0;1;;00003098;00000002;00000009;00001430;1;0;1;;;;0;;;;;0;;0;1;0;0;50000171;11000024
2022;1000000028;500000017;13;1;1;1;;00004299;00000005;00000006;00004643;1;0;0;;;;;;;;;;;0;1;0;0;50000178;11000025
2022;1000000029;500000018;8;1;1;1;;00004839;00000004;;00000279;2;0;0;0;;;0;;;0;;1;;0;1;0;0;50000115;11000016
2022;1000000030;500000019;9;2;0;1;;00004140;00000007;;;2;0;0;;;;;0;;;;0;;;1;0;0;50000024;11000003
2022;1000000032;500000020;20;2;0;1;;00002707;00000006;00000015;00005039;1;0;0;;;;;;;0;;;0;0;1;1;0;50000165;11000023
2022;1000000033;500000021;10;2;0;1;;00000345;00000008;00000019;00003651;2;0;0;0;;;;;;0;;;;0;1;;0;50000157;11000022
2022;1000000035;500000022;8;2;1;1;;00000501;00000007;00000022;;1;0;0;;1;;;;;;;;;0;1;0;0;50000060;11000008
2022;1000000036;500000023;18;2;1;1;;00000299;00000001;;00002916;1;0;1;;;;0;0;0;;0;;0;0;1;0;0;50000028;11000003
2022;1000000037;500000024;15;1;3;1;;00000385;00000004;;00003115;1;0;0;;;;0;;;;0;;;0;1;0;0;50000001;11000000
2022;1000000038;500000025;24;1;1;1;;00001164;00000008;00000024;;1;0;0;0;;1;;0;;;;;;0;1;0;0;50000095;11000013
2022;1000000039;500000026;21;1;1;1;;00002872;00000004;00000027;00003121;1;0;1;;;;0;;;;;;;0;1;;0;50000023;11000003
2022;1000000040;500000027;20;1;1;1;;00001098;00000004;00000018;00005390;1;0;0;;0;1;0;;;0;;;;0;1;1;0;50000068;11000009
2022;1000000042;500000028;18;2;1;1;;00000537;00000001;00000023;00004133;1;0;0;;;1;;;;;;;0;0;1;0;0;50000056;11000007
2022;1000000045;500000029;5;2;1;1;;00002164;00000001;00000003;00003599;1;0;1;;;1;;;0;0;;;;0;1;1;0;50000166;11000023
2022;1000000046;500000030;7;1;0;1;;00003707;00000002;;00003780;1;0;0;;;;;;0;;;;0;0;1;0;0;50000031;11000004
2022;1000000047;500000031;11;2;1;1;;00003927;00000007;00000012;;1;1;0;;0;;;;;;;;;0;1;0;0;50000101;11000014
2022;1000000049;500000032;11;1;1;1;;00004036;00000008;00000021;00004266;1;0;0;;;;;;0;;;;;0;1;0;0;50000066;11000009
2022;1000000050;500000033;14;1;0;1;;00004913;00000006;;00003415;1;0;0;;;1;;;;;;;;0;;;0;50000157;11000022
2022;1000000052;500000034;20;2;0;1;;00002279;00000007;00000009;00002528;1;0;0;;1;;;;;;;;;0;1;0;0;50000039;11000005
2022;1000000053;500000035;22;1;0;1;;00002862;00000008;00000010;;1;0;1;;;0;;;;0;;;;0;1;0;;50000115;11000016
2022;1000000055;500000036;9;1;1;1;;00000208;00000004;00000011;;1;0;0;0;;;0;0;;;0;;;0;1;0;0;50000162;11000023
2022;1000000056;500000037;10;1;0;1;;00003651;00000001;00000022;00000059;1;0;1;;;;;;;;;;;0;;0;;50000041;11000005
