NU_ANO;CO_ENTIDADE;TP_SITUACAO_FUNCIONAMENTO;TP_FALTANTE;CO_UF;CO_MUNICIPIO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_CATEGORIA_ESCOLA_PRIVADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;IN_LOCAL_FUNC_SOCIOEDUCATIVO;IN_LOCAL_FUNC_UNID_PRISIONAL;IN_LOCAL_FUNC_PRISIONAL_SOCIO;IN_LOCAL_FUNC_GALPAO;IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_LOCAL_FUNC_OUTROS;IN_PREDIO_COMPARTILHADO;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_LIXO_SERVICO_COLETA;IN_LIXO_QUEIMA;IN_LIXO_ENTERRA;IN_LIXO_DESTINO_FINAL_PUBLICO;IN_LIXO_DESCARTA_OUTRA_AREA;IN_TRATAMENTO_LIXO_SEPARACAO;IN_TRATAMENTO_LIXO_REUTILIZA;IN_TRATAMENTO_LIXO_RECICLAGEM;IN_TRATAMENTO_LIXO_INEXISTENTE;IN_BANHEIRO;IN_BANHEIRO_PNE;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;QT_SALAS_UTILIZADAS;IN_COMPUTADOR;IN_EQUIP_MULTIMIDIA;QT_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;QT_DESKTOP_ALUNO;IN_COMP_PORTATIL_ALUNO;QT_COMP_PORTATIL_ALUNO;IN_TABLET_ALUNO;QT_TABLET_ALUNO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_ACESSO_INTERNET_COMPUTADOR;IN_BANDA_LARGA;QT_PROF_COORDENADOR;QT_PROF_FONAUDIOLOGO;QT_PROF_NUTRICIONISTA;QT_PROF_PSICOLOGO;QT_PROF_PEDAGOGIA;IN_ALIMENTACAO;IN_ORGAO_ASS_PAIS;IN_ORGAO_ASS_PAIS_MESTRES;IN_ORGAO_CONSELHO_ESCOLAR
2017;11000000;4;;00000013;00004452;4;2;;;1;0;0;;0;0;;;1;;0;;0;0;;0;0;0;1;;;;0;;0;;;;0;0;0;1;;;0;0;0;1;;;0;1;;;;;0;;;;0;1;0;0;1;0;;1;0;1;1
2017;11000001;4;0;00000018;00004672;2;2;0;;1;;0;0;;0;;;1;;0;0;;0;1;0;0;;0;;;0;;;0;;1;0;;;0;;;0;1;;0;0;1;1;1;1;1;28.6931267064065;0;;0;;1;1;9;;21;0;;;1;;0;0;
2017;11000002;1;;00000007;00001158;2;2;0;;;;;;0;0;;0;;0;;0;;0;;0;0;0;0;;;;;;;0;0;0;;0;0;;1;;;0;;;;0;0;6;0;13.9171559119131;0;;0;0.567562995129265;0;0;;1;;0;;;0;;0;0;1
2017;11000003;1;;00000013;00001862;3;2;0;;1;;;;0;0;;0;1;1;0;0;;0;;;0;1;1;;0;;0;1;0;;0;0;0;0;0;1;1;;;;;0;;1;1;2;;0;0;;0;0;1;;9;1;0;0;0;0;;1;;0;
2017;11000004;4;0;00000026;00000136;3;1;0;;1;;;0;0;0;;;1;;0;0;0;0;;;0;0;;;0;1;0;1;0;0;0;0;1;;1;0;1;0;1;0;;1;2;;0;0;0;0;;;;0;0;1;0;1;;0;;0;0;;0;0;
2017;11000005;1;0;00000003;00005045;3;1;;;1;0;;0;;;;;;1;;;0;;;0;;0;1;;;;0;1;1;;;0;;0;0;;;1;0;1;1;1;;0;0;;0;27.1003476888873;;;0;0.528569774469361;;0;0;1;;0;;0;;1;;;0
2017;11000006;1;;00000023;00001268;2;1;0;2;;0;0;;0;;0;0;;1;0;0;;0;1;;0;0;1;;;0;0;;0;;0;;;0;;;;1;;0;1;0;15;;0;;;6.87442682043184;;2.72465795837343;;0.364457071409561;0;;1;;0;0;;0;;1;;0;1
2017;11000007;1;0;00000023;00000717;3;2;0;;1;;0;0;0;0;;0;1;;0;0;;1;1;0;;0;;0;;0;0;1;0;0;0;0;;;0;1;1;0;;;0;0;4;;1;;1;1.80789336154703;0;;0;0.943867823807523;;;;1;0;0;0;0;;1;0;1;0
2017;11000008;1;;00000010;00001624;3;1;0;;;0;;0;;0;0;0;;;0;;0;0;1;0;;0;1;0;0;1;;1;0;0;0;;0;;0;0;1;;0;0;;;;1;;0;1;0;0;;0;;0;;;;0;;0;0;1;1;0;;
2017;11000009;1;0;00000002;00002765;3;2;0;;;0;;0;;0;;;1;0;0;0;0;0;;;;;;1;;0;0;;;0;;;0;0;;0;1;;0;0;1;1;;;1;;;13.6347099230625;1;0;;0.812052811379544;1;;;;0;0;1;;4;1;0;0;
