NU_ANO;CO_PESSOA_FISICA;ID_MATRICULA;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;ID_TURMA;CO_ENTIDADE
2019;1000000001;200000001;23;2;2;1;;00003879;00000001;;00003944;1;0;1;;;;;;;;;;;0;1;0;0;20000109;11000015
2019;1000000002;200000002;13;1;1;1;;00001356;00000001;00000015;00002023;1;0;0;;;;;;;;;0;;0;0;0;0;20000094;11000013
2019;1000000004;200000003;8;1;3;1;;00001078;00000001;;00003379;1;0;0;;;;;;;;;;;0;1;0;0;20000125;11000017
2019;1000000005;200000004;9;2;1;1;;00003684;00000002;00000011;;1;0;0;;;;;;;;;0;;0;0;;0;20000216;11000030
2019;1000000006;200000005;6;2;3;1;;00002896;00000001;00000003;;1;0;0;;1;;;;;0;;;;0;1;0;0;20000126;11000017
2019;1000000007;200000006;16;2;3;1;;00001805;00000001;;;2;0;0;0;;;;;;0;0;;0;0;1;0;0;20000092;11000013
2019;1000000008;200000007;8;1;3;1;;00004466;00000002;00000027;00004148;1;0;1;;;;;;;0;;;;0;1;0;0;20000087;11000012
2019;1000000009;200000008;7;1;0;1;;00004359;00000001;00000024;00001935;1;0;0;;;;;0;;;;;;0;1;0;1;20000200;11000028
2019;1000000010;200000009;10;2;1;1;;00000553;00000002;00000022;;1;0;0;;0;;0;;;;;;;0;1;0;0;20000198;11000028
2019;1000000011;200000010;7;2;3;1;;00004003;00000002;;00004418;1;0;0;;;;;;;;;;;0;1;0;0;20000090;11000012
2019;1000000015;200000011;23;1;0;1;;00004414;00000002;00000027;00001554;1;0;0;;;1;;;;;;;;0;1;0;0;20000087;11000012
