NU_ANO;CO_PESSOA_FISICA;ID_MATRICULA;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;ID_TURMA;CO_ENTIDADE
2017;1000000000;1;19;1;1;1;;00000098;00000001;00000004;;1;0;0;0;;;;;;;;;;0;1;0;0;191;11000027
2017;1000000001;2;21;2;2;1;;00005290;00000001;00000005;;1;0;1;;;;;;;;;;;0;;0;0;20;11000002
2017;1000000002;3;11;1;1;1;;00003813;00000002;00000017;00002613;1;0;0;;0;;;;;0;0;;;0;1;1;;71;11000010
2017;1000000003;4;4;2;0;1;;00003992;00000002;00000015;00000344;1;0;0;;;;;;;;;;;0;1;0;0;155;11000022
2017;1000000004;5;6;1;3;1;;00004742;00000001;00000012;00003812;1;0;0;;0;;;1;;;;;0;0;1;0;0;117;11000016
2017;1000000005;6;7;2;1;1;;00003597;00000001;;;1;0;1;;;;;;0;;1;;0;0;1;0;0;111;11000015
2017;1000000006;7;4;2;3;1;;00004731;00000002;00000021;00001269;1;0;0;;;;;;;0;;;0;0;1;0;0;112;11000015
2017;1000000007;8;14;2;3;1;;00002976;00000001;;;2;0;0;;;;;;;;;;;0;1;0;0;79;11000011
2017;1000000008;9;6;1;3;1;;00004193;00000002;;;1;0;0;;;;;0;;;;0;;0;1;0;0;169;11000024
2017;1000000009;10;5;1;0;1;;00000645;00000001;00000026;00000964;1;0;0;0;0;;;;0;0;;;;0;1;0;0;140;11000019
2017;1000000010;11;8;2;1;1;;00004074;00000001;00000009;00002985;1;0;0;;;;;;;;;;;0;1;0;0;4;11000000
2017;1000000011;12;5;2;3;1;;00005330;00000001;00000023;00001719;1;0;0;;;;;0;0;;;;;0;0;0;0;68;11000009
2017;1000000012;13;20;2;1;1;;00004908;00000001;00000010;;2;0;0;;;;;;0;;;0;;0;1;0;0;94;11000013
2017;1000000013;14;10;2;1;1;;00003108;00000002;00000011;00003980;1;0;0;;0;;;;;;;;;0;1;;0;200;11000028
2017;1000000014;15;8;1;3;1;;00000682;00000001;00000026;00005399;2;0;0;;;;;;;;;;;0;1;;0;130;11000018
2017;1000000015;16;21;1;0;1;;00002847;00000002;00000003;;1;0;1;0;;;;;0;0;;;;;1;1;0;34;11000004
2017;1000000016;17;35;2;3;1;;00003565;00000002;;00004222;2;0;0;;;;;0;0;;;;0;0;1;0;0;106;11000015
2017;1000000017;18;12;1;0;1;;00002025;00000001;00000011;;1;0;0;;;1;;;;0;;;;0;1;;0;30;11000004
2017;1000000018;19;8;1;0;1;;00002651;00000002;;00002002;1;0;0;0;;;;;;;;;;0;;0;;78;11000011
2017;1000000019;20;16;1;1;1;;00000621;00000002;00000007;;2;0;0;;;;;;;;;;;0;1;0;0;196;11000027
2017;1000000020;21;19;2;3;1;;00004420;00000002;;00004892;1;0;0;;;;0;;0;;;;;0;0;0;0;139;11000019
2017;1000000021;22;14;2;1;1;;00005181;00000001;00000027;00005051;1;0;0;;;1;;;;0;;;;0;1;0;0;12;11000001
2017;1000000022;23;45;2;0;1;;00000281;00000001;00000016;00003482;1;0;0;;;;;;;;;0;;0;;0;0;143;11000020
2017;1000000023;24;23;1;1;1;;00000075;00000002;00000024;;1;0;0;;;1;;;;;;;;0;1;0;0;211;11000030
2017;1000000024;25;12;2;1;1;;00004441;00000002;;00004993;1;0;0;;1;;;;;0;;;;0;1;0;0;115;11000016
2017;1000000025;26;7;1;3;1;;00004081;00000002;;;2;0;0;0;;;;;;;0;;0;;0;0;0;85;11000012
2017;1000000026;27;15;2;3;1;;00003575;00000001;00000007;00004583;1;0;0;0;;;;;;;;;;0;1;;0;182;11000025
2017;1000000027;28;19;2;0;1;;00003995;00000001;;00001976;1;0;0;;;;;;;;;;;0;1;0;0;181;11000025
2017;1000000028;29;8;1;1;1;;00001085;00000001;00000008;;1;0;0;;;;0;;;0;0;;;0;1;0;0;62;11000008
2017;1000000029;30;4;1;1;1;;00004893;00000002;;;1;0;0;;;1;;;;0;0;0;;0;1;0;0;33;11000004
2017;1000000030;31;4;2;0;1;;00005213;00000002;00000021;00001821;2;0;1;;;;;;0;;;0;;0;;0;0;202;11000028
2017;1000000031;32;17;2;0;1;;00003963;00000001;00000012;00004166;1;0;1;;;;0;;;;;;0;0;1;0;0;150;11000021
2017;1000000032;33;15;2;0;1;;00004842;00000001;00000012;00001156;1;1;0;0;;;;;;0;;;;0;1;0;1;179;11000025
2017;1000000033;34;5;2;0;1;;00003909;00000001;00000027;00001401;1;0;0;;;;;;;;;;;0;1;1;0;211;11000030
2017;1000000034;35;13;1;0;1;;00003717;00000002;00000006;00004623;1;0;1;0;;;;;;;;0;0;0;0;0;0;205;11000029
2017;1000000035;36;4;2;1;1;;00004298;00000002;;;1;0;0;;;;;;;;;;;0;1;0;0;44;11000006
2017;1000000036;37;13;2;1;1;;00003074;00000002;;00000299;1;0;0;;;;;;;;;;;0;1;0;0;215;11000030
2017;1000000037;38;10;1;3;1;;00005318;00000001;;;1;0;0;;;;0;;;;;;;0;1;0;0;203;11000028
2017;1000000038;39;19;1;1;1;;00002795;00000002;;;1;0;0;;;;;0;;;0;;;0;1;0;0;2;11000000
2017;1000000039;40;16;1;1;1;;00005220;00000001;00000007;00001237;1;0;0;;;1;;;0;;0;;;0;1;0;1;1;11000000
2017;1000000040;41;15;1;1;1;;00000283;00000002;00000027;;1;0;0;;;;;;;0;;;;0;1;;0;113;11000016
2017;1000000041;42;15;2;3;1;;00004935;00000002;;;1;0;0;;;;;0;0;;;;;0;0;0;0;195;11000027
2017;1000000042;43;13;2;1;1;;00004389;00000002;00000024;00001758;1;0;0;;0;;;;;;0;;;0;1;0;;64;11000009
2017;1000000043;44;36;1;3;1;;00001768;00000001;;;1;0;0;0;;;;;;;;;;0;1;0;;103;11000014
2017;1000000044;45;15;2;3;1;;00004131;00000002;00000008;00002044;1;0;1;;;;;0;;;;;;0;0;0;0;37;11000005
2017;1000000045;46;4;2;1;1;;00000535;00000001;;;1;0;0;;;;;;;;;;;0;1;0;0;93;11000013
2017;1000000046;47;4;1;0;1;;00004440;00000001;00000011;;1;0;0;;0;;0;;0;0;;0;;;1;0;0;57;11000008
2017;1000000047;48;6;2;1;1;;00002382;00000001;00000011;;1;0;1;;;1;;;;;0;;;;1;1;0;92;11000013
2017;1000000048;49;32;2;0;1;;00003120;00000002;;00000762;1;0;0;;;;0;;0;0;0;;;0;1;0;0;193;11000027
2017;1000000049;50;6;1;1;1;;00005271;00000002;00000006;00004258;1;0;0;;;;;0;;;0;;0;0;1;1;0;187;11000026
2017;1000000050;51;9;1;0;1;;00002515;00000001;00000007;;1;0;0;0;;;;;;;0;;;0;1;0;0;171;11000024
2017;1000000051;52;9;2;1;1;;00004514;00000001;;00001723;2;0;1;;0;1;;0;;;;;;0;1;0;0;188;11000026
2017;1000000052;53;15;2;0;1;;00004194;00000001;00000010;00001481;1;0;0;;;;;;0;;;;;0;1;;;217;11000030
2017;1000000053;54;17;1;0;1;;00001451;00000001;;00004551;2;0;1;0;;;;;;0;;0;;0;1;0;;120;11000017
2017;1000000054;55;13;1;0;1;;00003774;00000001;;00004097;1;0;0;;;;;;;;;;;0;;0;0;205;11000029
2017;1000000055;56;4;1;1;1;;00000013;00000001;;00001074;2;0;0;;;;;;;;;;;0;;0;0;37;11000005
2017;1000000056;57;5;1;0;1;;00003943;00000001;00000023;00004367;2;0;0;0;;;;;;;;0;0;0;1;0;0;10;11000001
2017;1000000057;58;14;2;3;1;;00000709;00000002;;00001939;2;0;0;;;;;0;;;;;;0;1;0;0;96;11000013
2017;1000000058;59;11;2;1;1;;00003728;00000001;;;2;0;0;0;0;;;0;;;;;;0;1;0;0;32;11000004
2017;1000000059;60;7;1;0;1;;00003688;00000002;00000021;00003960;1;0;0;;0;;;;0;;;;;0;1;0;0;138;11000019
2017;1000000060;61;5;1;1;1;;00005290;00000002;;;1;0;0;;;;;;;;;;0;0;1;0;0;93;11000013
2017;1000000061;62;40;2;0;1;;00002997;00000002;00000012;00004902;1;0;1;0;;;;;;;;;;0;;0;0;142;11000020
2017;1000000062;63;4;1;3;1;;00003501;00000002;00000027;00005372;1;0;0;;;1;;;;;;;;0;1;0;0;166;11000023
2017;1000000063;64;16;1;3;1;;00005472;00000001;;00004218;1;0;0;;;;;;;;;0;;0;0;0;0;77;11000010
2017;1000000064;65;4;1;3;1;;00005082;00000002;00000012;00004480;1;0;1;0;;;;;;0;0;;0;;1;0;0;179;11000025
2017;1000000065;66;14;1;3;1;;00003959;00000001;00000025;00004531;1;0;0;;0;;;;0;;;;;0;0;0;0;21;11000002
2017;1000000066;67;11;2;3;1;;00005391;00000001;;00001449;1;0;0;;;1;;0;;;;;0;0;1;0;0;68;11000009
2017;1000000067;68;4;1;3;1;;00003257;00000001;00000012;00003440;1;0;0;0;;;;;0;;;;;0;1;0;0;136;11000019
2017;1000000068;69;5;2;0;1;;00004560;00000001;00000021;00001614;1;0;0;;;1;;;;;0;0;;0;1;1;0;166;11000023
2017;1000000069;70;10;1;0;1;;00003351;00000001;00000024;00000202;1;0;0;;;;0;;;;;;;0;1;0;1;197;11000028
2017;1000000070;71;13;2;1;1;;00000584;00000001;00000014;;2;0;1;;0;;;0;;;;;;0;1;0;0;69;11000009
2017;1000000071;72;14;2;0;1;;00002567;00000001;;;1;0;0;0;1;0;;0;;;;;;0;0;0;;216;11000030
2017;1000000072;73;10;2;3;1;;00004247;00000002;00000026;00003665;1;0;0;;1;;0;;;;;;;0;1;0;;76;11000010
2017;1000000073;74;8;1;3;1;;00000087;00000001;;;2;0;0;;;;;;;;;;;0;1;0;0;89;11000012
2017;1000000074;75;10;2;0;1;;00004961;00000002;00000022;00002777;1;0;0;;;1;;;;;;;;0;1;0;0;30;11000004
2017;1000000075;76;5;2;2;1;;00004246;00000001;00000013;00003038;1;0;0;;;;0;;;;;0;;;1;0;0;204;11000029
