CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000001;30000117;300000001;2022;24;2;2;1;;00004725;00000006;00000018;00000690;1;0;0;0;;;;;;;;;;0;1;;0;11000016;4;19;5;1;0;0;0;1;0;0
1000000002;30000168;300000002;2022;14;1;1;1;;00004824;00000006;00000007;00002797;1;0;0;;;;;;;;0;;;0;1;0;0;11000023;9;1;5;1;0;0;0;1;0;1
1000000004;30000213;300000003;2022;9;1;3;1;;00004114;00000004;00000002;;1;0;0;;;1;;;;;;;;0;1;0;0;11000030;;2;1;1;0;0;0;1;0;0
1000000006;30000174;300000005;2022;7;2;3;1;;00000097;00000007;;;1;0;0;0;;;;0;;;;0;;0;1;1;0;11000024;9;19;3;1;0;0;0;1;0;0
1000000007;30000154;300000006;2022;17;2;3;1;;00003868;00000007;00000027;00000546;1;0;0;;;;0;;;;;;;0;1;0;0;11000021;5;2;5;1;0;0;0;1;0;0
1000000008;30000024;300000007;2022;9;1;3;1;;00003084;00000002;;00003742;2;0;0;;;;;0;;;0;;;0;1;0;0;11000003;5;41;5;1;0;0;0;1;0;0
1000000009;30000141;300000008;2022;8;1;0;1;;00002358;00000005;00000014;00001068;1;0;0;;;;;;;;0;;;0;1;0;0;11000020;9;14;1;1;0;0;0;1;0;0
1000000010;30000047;300000009;2022;11;2;1;1;;00001197;00000003;00000004;00001388;2;0;0;;;;;;;;;;;0;1;0;0;11000006;5;25;5;1;0;0;0;1;0;0
1000000019;30000073;300000013;2022;19;1;1;1;;00004408;00000004;;;1;0;0;;;0;;;;;0;0;0;0;1;0;0;11000010;5;1;5;1;0;0;0;1;0;0
1000000021;30000068;300000014;2022;17;2;1;1;;00002763;00000002;00000010;00003237;1;0;0;;;;0;;;0;;;;0;1;0;;11000009;5;15;5;1;0;0;0;1;0;0
1000000023;30000021;300000015;2022;26;1;1;1;;00003154;00000001;00000019;;1;0;0;;;;;;;;;;0;0;1;0;0;11000002;5;14;5;1;0;0;0;1;0;0
1000000025;30000114;300000016;2022;10;1;3;1;;00002538;00000002;00000005;00001510;1;0;0;0;;;;;;;;0;;0;1;0;1;11000016;5;19;5;1;0;0;0;1;0;0
1000000026;30000185;300000017;2022;18;2;3;1;;00000424;00000004;;00001974;1;0;0;0;0;;;0;;;;;;0;1;0;0;11000026;5;19;5;1;0;0;0;1;0;0
1000000027;30000148;300000018;2022;22;2;0;1;;00003756;00000005;00000001;00001602;1;0;0;0;;;;;0;;0;;0;0;1;0;0;11000021;5;2;5;1;0;0;0;1;0;0
1000000028;30000150;300000019;2022;11;1;1;1;;00001939;00000007;00000005;00002996;2;0;0;;;;;;0;;;0;;0;1;0;0;11000021;5;17;;1;0;0;0;1;0;0
1000000029;30000207;300000020;2022;6;1;1;1;;00002713;00000005;;00002390;1;0;0;0;;;0;;;;;;;0;1;0;1;11000029;5;21;5;1;0;0;0;1;0;0
1000000030;30000047;300000021;2022;7;2;0;1;;00004672;00000006;00000014;00003250;1;0;0;;;;;;0;;;;;0;1;0;0;11000006;5;25;5;1;1;0;0;1;0;0
1000000031;30000163;300000022;2022;20;2;0;1;;00003370;00000007;00000015;00000876;1;0;1;;;;;;;;0;;;0;1;0;0;11000023;4;26;5;1;0;0;0;1;0;1
1000000032;30000141;300000023;2022;18;2;0;1;;00001482;00000004;;;1;0;0;;0;1;;;;;;;;0;1;0;0;11000020;5;14;1;1;0;0;0;1;0;0
1000000033;30000127;300000024;2022;8;2;0;1;;00003002;00000008;00000021;;1;0;1;;;1;;0;;;0;;;0;1;0;0;11000018;5;14;1;1;1;0;0;1;0;0
