CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000000;10000104;100000001;2020;20;1;1;1;;00003369;00000002;00000027;00003318;1;0;0;;;;;0;;0;;;;0;1;0;0;11000014;9;;5;1;0;0;0;1;0;1
1000000001;10000091;100000002;2020;22;2;2;1;;00004865;00000003;00000014;00001881;1;0;0;;0;;;0;;;;0;;0;1;1;1;11000012;9;;5;1;0;0;0;1;0;0
1000000002;10000059;100000003;2020;12;1;1;1;;00001231;00000006;00000003;00003806;1;0;1;;;1;;0;;;;;;0;1;0;0;11000008;5;19;5;1;0;0;0;1;0;0
1000000004;10000157;100000004;2020;7;1;3;1;;00002948;00000008;00000016;00003520;1;0;0;0;;;;;;0;0;;0;0;1;0;0;11000022;5;;5;1;0;0;0;1;0;0
1000000005;10000192;100000005;2020;8;2;1;1;;00000732;00000003;00000027;;1;0;1;;;1;;;;;0;;;0;1;0;0;11000027;4;;5;1;0;0;0;1;0;0
1000000006;10000093;100000006;2020;5;2;3;1;;00005058;00000005;00000017;00004547;1;0;0;;;;;;;;;0;;0;1;0;1;11000013;9;;5;1;0;0;0;1;0;0
1000000007;10000166;100000007;2020;15;2;3;1;;00001233;00000004;00000013;00000573;1;0;0;;;;;;;;;;;0;1;0;0;11000023;5;40;5;1;0;0;0;1;0;0
1000000008;10000002;100000008;2020;7;1;3;1;;00001113;00000001;;;1;1;0;;;;0;;;;0;;;0;1;0;0;11000000;9;41;5;1;0;0;0;1;0;0
1000000009;10000100;100000009;2020;6;1;0;1;;00004176;00000008;00000014;00003038;1;0;0;0;;;;0;;;;;0;0;1;0;0;11000014;;14;5;1;0;0;0;1;0;0
1000000010;10000053;100000010;2020;9;2;1;1;;00000086;00000003;00000024;00003155;1;0;0;;;;;;;;;;;0;1;0;0;11000007;9;26;5;1;0;0;0;1;0;0
1000000011;10000083;100000011;2020;6;2;3;1;;00002704;00000002;;;1;0;0;;0;;0;;0;;;;;0;1;0;0;11000011;9;17;6;1;1;0;0;1;0;0
1000000012;10000121;100000012;2020;21;2;1;1;;00004318;00000008;00000018;00001514;1;0;0;;;0;0;;0;0;;;;0;1;0;0;11000017;2;21;5;1;0;0;0;1;0;1
1000000013;10000080;100000013;2020;11;2;1;1;;00001493;00000004;00000022;00000354;1;0;0;0;;;;;;;;;;0;1;0;0;11000011;2;16;5;1;0;0;0;1;0;1
1000000015;10000006;100000014;2020;22;1;0;1;;00005113;00000003;00000025;;1;0;1;0;;;;0;;;;;;0;1;0;0;11000000;5;2;5;1;0;0;0;1;0;0
1000000016;10000106;100000015;2020;36;2;3;1;;00004026;00000006;00000012;;1;0;0;;;;;;;;;0;;0;1;0;0;11000015;4;20;5;1;0;0;0;1;0;1
1000000017;10000009;100000016;2020;13;1;0;1;;00003567;00000002;00000012;00004048;2;0;0;;;;;;;;;;0;0;1;0;0;11000001;9;18;6;1;0;0;0;1;0;0
