CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000004;40000183;400000002;2021;10;1;3;1;;00000161;00000006;;00000239;2;0;0;;;0;;;;0;0;0;;0;1;0;0;11000026;5;22;5;1;0;0;0;1;0;0
1000000005;40000107;400000003;2021;11;2;1;1;;00000257;00000003;00000009;00004978;2;1;0;0;;;;;0;;;;0;;1;0;0;11000015;5;41;5;1;0;0;0;1;0;0
1000000006;40000189;400000004;2021;8;2;3;1;;00004035;00000002;00000015;;1;0;0;;;;;;;;;;;0;1;0;0;11000026;5;;4;1;0;0;0;1;0;0
1000000007;40000108;400000005;2021;18;2;3;1;;00002773;00000006;00000008;00003314;1;0;0;;1;;;;;;;;;0;1;0;0;11000015;5;21;5;1;0;0;0;1;0;0
1000000008;40000099;400000006;2021;10;1;3;1;;00001933;00000002;;00002256;1;0;1;;;;0;;;;;0;;;1;0;0;11000014;5;1;5;1;0;0;0;1;0;0
1000000009;40000099;400000007;2021;9;1;0;1;;00001505;00000007;00000011;00004005;1;0;1;;0;;;0;;;;;;0;1;0;0;11000014;2;1;5;1;0;0;0;1;0;0
1000000011;40000007;400000009;2021;9;2;3;1;;00002090;00000003;;00004434;1;0;0;;;;;0;;0;0;;;0;1;1;0;11000000;9;69;5;1;0;0;0;1;0;0
1000000017;40000144;400000010;2021;16;1;0;1;;00005552;00000006;;00001760;1;0;0;;;;;;;;0;;0;0;1;0;0;11000020;9;;6;1;0;0;0;1;0;0
1000000019;40000028;400000011;2021;20;1;1;1;;00000068;00000004;00000023;00003453;1;0;0;;;;;;;;;;;0;1;0;;11000003;5;2;5;1;0;0;0;1;0;0
1000000023;40000070;400000013;2021;27;1;1;1;;00005218;00000004;;00000291;1;0;0;;0;1;0;;;;;;;0;1;0;0;11000009;5;22;5;1;0;0;0;1;0;0
