CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000001;20000109;200000001;2019;23;2;2;1;;00003879;00000001;;00003944;1;0;1;;;;;;;;;;;0;1;0;0;11000015;;16;5;1;0;0;0;1;0;0
1000000004;20000125;200000003;2019;8;1;3;1;;00001078;00000001;;00003379;1;0;0;;;;;;;;;;;0;1;0;0;11000017;5;41;5;1;0;0;0;1;0;0
1000000006;20000126;200000005;2019;6;2;3;1;;00002896;00000001;00000003;;1;0;0;;1;;;;;0;;;;0;1;0;0;11000017;5;17;1;1;0;0;0;1;0;0
1000000007;20000092;200000006;2019;16;2;3;1;;00001805;00000001;;;2;0;0;0;;;;;;0;0;;0;0;1;0;0;11000013;9;14;5;1;0;0;0;1;0;0
1000000008;20000087;200000007;2019;8;1;3;1;;00004466;00000002;00000027;00004148;1;0;1;;;;;;;0;;;;0;1;0;0;11000012;5;19;5;1;0;0;0;1;0;0
1000000009;20000200;200000008;2019;7;1;0;1;;00004359;00000001;00000024;00001935;1;0;0;;;;;0;;;;;;0;1;0;1;11000028;9;25;1;1;0;0;0;1;0;0
1000000010;20000198;200000009;2019;10;2;1;1;;00000553;00000002;00000022;;1;0;0;;0;;0;;;;;;;0;1;0;0;11000028;4;;5;1;0;0;0;1;0;0
1000000011;20000090;200000010;2019;7;2;3;1;;00004003;00000002;;00004418;1;0;0;;;;;;;;;;;0;1;0;0;11000012;2;;5;1;0;0;0;1;0;0
1000000015;20000087;200000011;2019;23;1;0;1;;00004414;00000002;00000027;00001554;1;0;0;;;1;;;;;;;;0;1;0;0;11000012;5;19;5;1;0;0;0;1;0;1
1000000017;20000202;200000012;2019;14;1;0;1;;00002128;00000002;;00000986;1;0;0;;0;;;;;;0;0;;0;1;0;0;11000028;5;25;5;1;0;0;0;1;0;0
1000000018;20000036;200000013;2019;10;1;0;1;;00002250;00000002;;;1;0;0;;;;;;;;;;;0;1;0;0;11000005;;69;5;1;0;0;0;1;0;0
1000000019;20000003;200000014;2019;18;1;1;1;;00000476;00000001;00000012;00002715;1;0;0;;0;;;;;;;;;0;1;0;0;11000000;5;26;1;1;0;0;0;1;0;0
1000000020;20000185;200000015;2019;21;2;3;1;;00002983;00000001;;;1;0;0;;;;;;;;0;;;0;1;0;0;11000026;9;18;5;1;0;0;0;1;0;1
1000000021;20000076;200000016;2019;16;2;1;1;;00001465;00000001;00000017;00003887;2;0;0;;;;;0;0;;;;;0;1;0;0;11000010;9;14;5;1;0;0;0;1;0;0
1000000023;20000120;200000017;2019;25;1;1;1;;00001094;00000001;00000013;;1;0;0;;;;;;;;;0;;0;1;0;0;11000017;5;15;5;1;0;0;0;1;0;0
1000000025;20000033;200000018;2019;9;1;3;1;;00002574;00000002;;00001056;1;0;0;;;;;;;;;;;;1;0;0;11000004;5;69;5;1;0;0;0;1;0;0
1000000026;20000075;200000019;2019;17;2;3;1;;00004542;00000002;00000005;00005039;1;0;0;;;;;;;;;0;;0;1;0;0;11000010;9;26;5;1;0;0;0;1;0;0
1000000027;20000183;200000020;2019;21;2;0;1;;00005328;00000001;;;1;0;0;;;;;;;;;;;0;1;0;0;11000026;9;1;5;1;0;0;0;1;0;0
1000000029;20000051;200000022;2019;5;1;1;1;;00004519;00000002;00000019;00004560;1;0;0;;0;;;;;;;;;0;1;0;0;11000007;5;2;5;1;0;0;0;1;0;0
1000000030;20000064;200000023;2019;6;2;0;1;;00002823;00000002;00000011;00002653;2;0;0;;;;;0;;;0;;;0;1;0;0;11000009;5;1;5;1;0;0;0;1;0;0
