CO_PESSOA_FISICA;ID_TURMA;ID_MATRICULA;NU_ANO;NU_IDADE_REFERENCIA;TP_SEXO;TP_COR_RACA;TP_NACIONALIDADE;CO_UF_NASC;CO_MUNICIPIO_NASC;CO_PAIS_RESIDENCIA;CO_UF_END;CO_MUNICIPIO_END;TP_ZONA_RESIDENCIAL;IN_NECESSIDADE_ESPECIAL;IN_TRANSPORTE_PUBLICO;IN_TRANSP_BICICLETA;IN_TRANSP_MICRO_ONIBUS;IN_TRANSP_ONIBUS;IN_TRANSP_TR_ANIMAL;IN_TRANSP_VANS_KOMBI;IN_TRANSP_OUTRO_VEICULO;IN_TRANSP_EMBAR_ATE5;IN_TRANSP_EMBAR_5A15;IN_TRANSP_EMBAR_15A35;IN_TRANSP_EMBAR_35;IN_ESPECIAL_EXCLUSIVA;IN_REGULAR;IN_EJA;IN_PROFISSIONALIZANTE;CO_ENTIDADE;TP_SITUACAO;TP_ETAPA_ENSINO;NU_DIAS_ATIVIDADE;QT_ESCOLAS_ANO;IN_TRANSFERIDO;IN_CONCLUINTE_FINAL;IN_FALECIDO;N_MATRICULAS_REG;IN_TROCA_ESCOLA;evadiu
1000000004;40000022;400000002;2023;10;1;3;1;;00004440;00000006;00000027;;1;0;1;;;;;;;;;;;0;1;0;0;11000003;5;2;1;1;0;0;0;1;0;0
1000000005;40000014;400000003;2023;11;2;1;1;;00004038;00000005;00000001;00002644;1;0;0;;;1;;;;;;;;0;1;0;0;11000001;9;1;5;1;0;0;0;1;0;0
1000000007;40000041;400000005;2023;18;2;3;1;;00001154;00000009;00000015;00000452;1;0;0;0;;;;;;;0;;0;0;1;0;0;11000005;5;22;5;1;0;0;0;1;0;0
1000000008;40000098;400000006;2023;10;1;3;1;;00002986;00000007;00000024;00000769;1;0;0;;;;0;;;;;0;;0;1;0;0;11000013;5;68;5;1;0;0;0;1;0;0
1000000009;40000056;400000007;2023;9;1;0;1;;00004804;00000001;00000004;00005393;1;0;0;;;;;;;0;;;;;1;0;;11000007;;1;5;1;0;0;0;1;0;0
1000000010;40000098;400000008;2023;12;2;1;1;;00001403;00000001;;00001467;1;0;1;;0;;;;;;0;;;0;1;0;;11000013;5;68;5;1;0;0;0;1;0;0
1000000011;40000014;400000009;2023;9;2;3;1;;00001834;00000006;;00003386;2;0;0;;0;;;0;;;;;;0;1;0;0;11000001;5;1;5;1;0;0;0;1;0;0
1000000017;40000164;400000010;2023;16;1;0;1;;00003217;00000007;00000007;;1;0;0;;;;0;;0;;;;;0;1;0;0;11000023;5;21;5;1;0;0;0;1;0;0
1000000019;40000165;400000011;2023;20;1;1;1;;00002635;00000005;00000019;00002605;1;0;;;;;;;;;;;;0;1;0;1;11000023;5;21;5;1;0;0;0;1;0;0
1000000021;40000128;400000012;2023;18;2;1;1;;00000737;00000004;00000015;00000809;1;0;0;;;;0;;0;;;0;;0;1;;0;11000018;;64;5;1;0;0;0;1;0;0
1000000023;40000036;400000013;2023;27;1;1;1;;00004250;00000006;00000021;;1;0;0;;0;;;1;;;0;;;0;1;0;0;11000005;9;41;5;1;0;0;0;1;0;0
1000000026;40000214;400000015;2023;19;2;3;1;;00004141;00000006;00000013;00001557;2;0;0;;;;;0;1;;;;;0;1;0;0;11000030;5;1;5;1;0;0;0;1;0;0
1000000027;40000206;400000016;2023;23;2;0;1;;00002723;00000008;00000001;00004100;1;0;0;;;;;;;;;;0;0;1;0;0;11000029;5;2;5;1;1;0;0;1;0;0
1000000028;40000194;400000017;2023;12;1;1;1;;00003908;00000001;;00000185;1;0;0;;;;;;;0;0;0;;0;1;0;0;11000027;5;25;5;1;0;0;0;1;0;0
1000000029;40000140;400000018;2023;7;1;1;1;;00004774;00000003;00000010;;1;0;0;0;;;;;;;;;;0;1;0;;11000019;5;17;5;1;1;0;0;1;0;0
1000000030;40000079;400000019;2023;8;2;0;1;;00001485;00000002;00000007;;2;0;0;;;;;;;;;;;0;1;0;0;11000011;5;;5;1;0;0;0;1;0;0
1000000032;40000055;400000020;2023;19;2;0;1;;00003389;00000004;00000015;00004130;2;0;0;;0;;;;;;;;;0;1;0;0;11000007;5;18;5;1;0;0;0;1;0;0
1000000033;40000183;400000021;2023;9;2;0;1;;00002324;00000004;;00005166;1;1;0;;;;;;;;;;;0;1;0;1;11000026;9;27;5;1;0;0;0;1;0;0
1000000036;40000182;400000023;2023;17;2;1;1;;00003318;00000004;00000004;00003863;1;0;0;;;;;0;;;;;;0;1;1;0;11000025;5;14;;1;0;0;0;1;0;0
1000000037;40000168;400000024;2023;14;1;3;1;;00000391;00000001;00000021;;2;0;0;;0;;0;;;;;;;0;1;0;0;11000023;5;;2;1;0;0;0;1;0;0
1000000039;40000208;400000026;2023;20;1;1;1;;00004819;00000009;00000002;;1;0;0;0;;;;;;;;;0;0;1;0;0;11000029;2;16;2;1;0;0;0;1;0;0
1000000040;40000210;400000027;2023;19;1;1;1;;00003751;00000003;;00005092;1;0;0;;;;;;;;0;;;0;1;0;0;11000029;5;;5;1;0;0;0;1;0;0
1000000042;40000044;400000028;2023;17;2;1;1;;00003566;00000007;;;1;0;0;0;0;1;;;;;;0;;0;1;0;0;11000006;2;41;5;1;1;0;0;1;0;1
1000000045;40000016;400000029;2023;4;2;1;1;;00000324;00000005;00000027;00004291;1;0;0;0;;1;0;0;;;;;;0;1;0;0;11000002;5;;5;1;0;0;0;1;0;0
1000000046;40000109;400000030;2023;6;1;0;1;;00002675;00000002;00000004;00001579;1;0;0;;;;;;;;;;0;0;1;0;0;11000015;9;22;5;1;0;0;0;1;0;0
1000000047;40000162;400000031;2023;10;2;1;1;;00004654;00000005;00000021;;1;0;1;;;;;;;0;;;;0;1;0;0;11000023;9;2;5;1;0;0;0;1;0;0
1000000048;40000111;400000032;2023;36;2;0;1;;00002749;00000003;00000024;00004648;1;0;0;;;;;;;;;;;0;1;0;0;11000015;9;16;5;1;0;0;0;1;0;0
1000000049;40000126;400000033;2023;10;1;1;1;;00003322;00000002;00000017;;1;0;1;;0;;;;;;;;0;0;1;0;0;11000017;5;18;5;1;0;0;0;1;0;0
1000000050;40000026;400000034;2023;13;1;0;1;;00004254;00000008;;;1;0;0;;;;;;;;;;;0;1;0;0;11000003;5;;5;1;0;0;0;1;0;1
1000000051;40000061;400000035;2023;13;2;1;1;;00005374;00000004;00000023;;1;0;0;;;;0;;;;;0;0;0;1;0;0;11000008;2;20;5;1;0;0;0;1;0;1
1000000053;40000102;400000037;2023;21;1;0;1;;00004682;00000001;;;2;1;0;0;;;;;0;;;;0;0;1;0;0;11000014;5;21;5;1;0;0;0;1;0;0
1000000055;40000194;400000038;2023;8;1;1;1;;00000171;00000004;00000013;00002815;1;0;1;;0;;;;;;;0;0;0;1;0;1;11000027;5;25;5;1;0;0;0;1;0;0
1000000056;40000215;400000039;2023;9;1;0;1;;00004684;00000008;00000014;00000694;1;0;0;;;;;;0;;;;;;1;1;0;11000030;2;14;5;1;0;0;0;1;0;0
1000000057;40000176;400000040;2023;18;2;3;1;;00004255;00000001;;00003890;1;0;0;;;1;;;;;0;;;1;1;0;0;11000025;9;2;5;1;0;0;0;1;0;0
